step_reverse,layer,depth,metric,image_index,value
3,features.1.0,1,L2_normalized,3,0.6075118184089661
3,features.1.0,1,L2_normalized,4,0.7231868505477905
3,features.1.0,1,L2_normalized,5,0.530077338218689
3,features.1.0,1,L2_normalized,6,0.4005427062511444
3,features.1.0,1,L2_normalized,7,0.2666141390800476
3,features.1.0,1,L2_normalized,8,0.41701897978782654
3,features.1.0,1,L2_normalized,9,0.5051903128623962
3,features.1.0,1,L2_normalized,10,0.23372799158096313
3,features.1.0,1,L2_normalized,11,0.7217450737953186
3,features.1.0,1,L2_normalized,12,0.5731678009033203
3,features.1.0,1,L2_normalized,13,0.2181854248046875
3,features.1.0,1,L2_normalized,14,0.44584161043167114
3,features.1.0,1,L2_normalized,15,0.43040287494659424
3,features.1.0,1,L2_normalized,16,0.45634925365448
3,features.1.0,1,L2_normalized,17,0.4824296832084656
3,features.1.0,1,L2_normalized,18,0.45105841755867004
3,features.1.0,1,L2_normalized,19,0.40079429745674133
3,features.1.0,1,L2_normalized,20,0.5679428577423096
3,features.1.0,1,L2_normalized,21,0.5269472002983093
3,features.1.0,1,L2_normalized,22,0.44967949390411377
3,features.1.0,1,L2_normalized,23,0.5429304242134094
3,features.1.0,1,L2_normalized,24,0.3195042312145233
3,features.1.0,1,L2_normalized,25,0.5269827246665955
3,features.1.0,1,L2_normalized,26,0.33828988671302795
3,features.1.0,1,L2_normalized,27,0.2899686396121979
3,features.1.0,1,L2_normalized,28,0.6368444561958313
3,features.1.0,1,L2_normalized,29,0.2453492283821106
3,features.1.0,1,cosine,0,0.6958651542663574
3,features.1.0,1,cosine,1,0.6111235618591309
3,features.1.0,1,cosine,2,0.5965728759765625
3,features.1.0,1,cosine,3,0.6970438957214355
3,features.1.0,1,cosine,4,0.6392884254455566
3,features.1.0,1,cosine,5,0.7352207899093628
3,features.1.0,1,cosine,6,0.7998629808425903
3,features.1.0,1,cosine,7,0.8668060898780823
3,features.1.0,1,cosine,8,0.7917436957359314
3,features.1.0,1,cosine,9,0.7478388547897339
3,features.1.0,1,cosine,10,0.8832666873931885
3,features.1.0,1,cosine,11,0.6399353742599487
3,features.1.0,1,cosine,12,0.7140385508537292
3,features.1.0,1,cosine,13,0.8911129236221313
3,features.1.0,1,cosine,14,0.7775781154632568
3,features.1.0,1,cosine,15,0.784936785697937
3,features.1.0,1,cosine,16,0.7719813585281372
3,features.1.0,1,cosine,17,0.7603116035461426
3,features.1.0,1,cosine,18,0.7750277519226074
3,features.1.0,1,cosine,19,0.8001564145088196
3,features.1.0,1,cosine,20,0.7167055010795593
3,features.1.0,1,cosine,21,0.7374836206436157
3,features.1.0,1,cosine,22,0.7757852673530579
3,features.1.0,1,cosine,23,0.7292166948318481
3,features.1.0,1,cosine,24,0.8410549759864807
3,features.1.0,1,cosine,25,0.7371744513511658
3,features.1.0,1,cosine,26,0.8309657573699951
3,features.1.0,1,cosine,27,0.8557064533233643
3,features.1.0,1,cosine,28,0.6827276945114136
3,features.1.0,1,cosine,29,0.8778800964355469
3,features.1.1,2,L2,0,246317.921875
3,features.1.1,2,L2,1,303456.34375
3,features.1.1,2,L2,2,282332.34375
3,features.1.1,2,L2,3,243277.4375
3,features.1.1,2,L2,4,274005.59375
3,features.1.1,2,L2,5,202232.65625
3,features.1.1,2,L2,6,167692.75
3,features.1.1,2,L2,7,118210.453125
3,features.1.1,2,L2,8,161158.40625
3,features.1.1,2,L2,9,229653.03125
3,features.1.1,2,L2,10,96067.53125
3,features.1.1,2,L2,11,306103.0
3,features.1.1,2,L2,12,172763.1875
3,features.1.1,2,L2,13,121982.6171875
3,features.1.1,2,L2,14,163212.640625
3,features.1.1,2,L2,15,192836.34375
3,features.1.1,2,L2,16,180813.921875
3,features.1.1,2,L2,17,204544.78125
3,features.1.1,2,L2,18,171189.109375
3,features.1.1,2,L2,19,183907.046875
3,features.1.1,2,L2,20,260054.5
3,features.1.1,2,L2,21,209345.546875
3,features.1.1,2,L2,22,244471.875
3,features.1.1,2,L2,23,255171.578125
3,features.1.1,2,L2,24,169073.625
3,features.1.1,2,L2,25,238855.765625
3,features.1.1,2,L2,26,119695.453125
3,features.1.1,2,L2,27,89615.15625
3,features.1.1,2,L2,28,234750.125
3,features.1.1,2,L2,29,101019.0078125
3,features.1.1,2,L2_normalized,0,0.684209942817688
3,features.1.1,2,L2_normalized,1,0.8169105052947998
3,features.1.1,2,L2_normalized,2,0.9193563461303711
